id,business_name,content,type,category,function_name,content,note,operator
1,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物リスト一覧取得,買い物リスト一覧を取得,'買い物'タグが付いているタスクの詳細を開くと見れる。各項目の金額はデフォルトでは一番値段が安い店舗の情報が表示され、手動で店舗切り替え可能,user
2,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物リスト合計金額取得,買い物リスト項目の合計金額を算出し取得,-,user
3,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物リスト項目登録,買い物リストに買うべき物を登録,未完了の項目がない状態で登録すると'買い物'タグが付いたリストが自動的に追加される,user
4,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物リスト項目編集,買い物リストの項目を編集,-,user
5,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物完了,買い物リストの選択した項目を完了,リスト内の最後の項目を完了すると、'買い物'タグが付いたタスクが自動的に完了になる,user
6,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物未完了,買い物リストの選択した項目を未完了,未完了の項目がない状態で未完了すると'買い物'タグが付いたリストが自動的に未完了になる,user
7,買い物,買い物リストを元に必要な物を買い足す,localstorage,買い物リスト管理,買い物リスト項目削除,買い物リストの選択した項目を買い物リストから削除,リスト内の最後の項目を削除すると、'買い物'タグが付いたタスクが自動的に完了になる,user
8,洗濯,決められた周期で洗濯する,localstorage,スケジュール管理,スケジュール一覧取得,スケジュール一覧を取得,-,user
9,洗濯,決められた周期で洗濯する,localstorage,スケジュール管理,スケジュール詳細取得,スケジュール詳細を取得,'スケジュール'タグが付いているタスクの詳細を開くと見れる,user
10,洗濯,決められた周期で洗濯する,localstorage,スケジュール管理,スケジュール登録,スケジュールを登録,'スケジュール'タグが付いたリストが自動的に追加される,user
11,洗濯,決められた周期で洗濯する,localstorage,スケジュール管理,スケジュール編集,選択したスケジュールを編集,-,user
12,洗濯,決められた周期で洗濯する,localstorage,スケジュール管理,スケジュール削除,選択したスケジュールを削除,'スケジュール'タグが付いたタスクが自動的に削除される,user
13,ゴミ出し,武蔵野市の分別・ゴミ出しルールに沿ってゴミ出しする,localstorage,スケジュール管理,スケジュール一覧取得,スケジュール一覧を取得,-,user
14,ゴミ出し,武蔵野市の分別・ゴミ出しルールに沿ってゴミ出しする,localstorage,スケジュール管理,スケジュール詳細取得,スケジュール詳細を取得,'スケジュール'タグが付いているタスクの詳細を開くと見れる,user
15,ゴミ出し,武蔵野市の分別・ゴミ出しルールに沿ってゴミ出しする,localstorage,スケジュール管理,スケジュール登録,スケジュールを登録,'スケジュール'タグが付いたリストが自動的に追加される,user
16,ゴミ出し,武蔵野市の分別・ゴミ出しルールに沿ってゴミ出しする,localstorage,スケジュール管理,スケジュール編集,選択したスケジュールを編集,-,user
17,ゴミ出し,武蔵野市の分別・ゴミ出しルールに沿ってゴミ出しする,localstorage,スケジュール管理,スケジュール削除,選択したスケジュールを削除,'スケジュール'タグが付いたタスクが自動的に削除される,user
18,掃除,決められた周期で掃除する,localstorage,スケジュール管理,スケジュール一覧取得,スケジュール一覧を取得,-,user
19,掃除,決められた周期で掃除する,localstorage,スケジュール管理,スケジュール詳細取得,スケジュール詳細を取得,'スケジュール'タグが付いているタスクの詳細を開くと見れる,user
20,掃除,決められた周期で掃除する,localstorage,スケジュール管理,スケジュール登録,スケジュールを登録,'スケジュール'タグが付いたリストが自動的に追加される,user
21,掃除,決められた周期で掃除する,localstorage,スケジュール管理,スケジュール編集,選択したスケジュールを編集,-,user
22,掃除,決められた周期で掃除する,localstorage,スケジュール管理,スケジュール削除,選択したスケジュールを削除,'スケジュール'タグが付いたタスクが自動的に削除される,user
23,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク一覧取得,タスク一覧を取得,-,user
24,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク詳細取得,タスク詳細を取得,直接手動で追加したタスクの詳細を開くと見れる,user
25,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク登録,タスクを登録,自動追加されたタスクにはそれぞれ対応するタグが、直接手動で追加したタスクには'その他'タグが付与される,user
26,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク編集,タスクを編集,-,user
27,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク完了,選択したタスクを完了,'買い物'タグが付いているタスクは直接完了できない（リスト項目単位での完了のみ許可されている）,user
28,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク未完了,選択したタスクを未完了,'買い物'タグが付いているタスクは直接未完了できない（リスト項目単位での未完了のみ許可されている）,user
29,食事,食事の準備をし、食事を摂る,localstorage,タスク管理,タスク削除,選択したタスクを削除,'買い物'タグが付いているタスクは直接削除できない（リスト項目単位での削除のみ許可されている）,user
30,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク一覧取得,タスク一覧を取得,-,user
31,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク詳細取得,タスク詳細を取得,直接手動で追加したタスクの詳細を開くと見れる,user
32,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク登録,タスクを登録,自動追加されたタスクにはそれぞれ対応するタグが、直接手動で追加したタスクには'その他'タグが付与される,user
33,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク編集,タスクを編集,-,user
34,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク完了,選択したタスクを完了,'買い物'タグが付いているタスクは直接完了できない（リスト項目単位での完了のみ許可されている）,user
35,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク未完了,選択したタスクを未完了,'買い物'タグが付いているタスクは直接未完了できない（リスト項目単位での未完了のみ許可されている）,user
36,勤行・唱題,勤行・唱題をする,localstorage,タスク管理,タスク削除,選択したタスクを削除,'買い物'タグが付いているタスクは直接削除できない（リスト項目単位での削除のみ許可されている）,user
37,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク一覧取得,タスク一覧を取得,-,user
38,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク詳細取得,タスク詳細を取得,直接手動で追加したタスクの詳細を開くと見れる,user
39,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク登録,タスクを登録,自動追加されたタスクにはそれぞれ対応するタグが、直接手動で追加したタスクには'その他'タグが付与される,user
40,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク編集,タスクを編集,-,user
41,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク完了,選択したタスクを完了,'買い物'タグが付いているタスクは直接完了できない（リスト項目単位での完了のみ許可されている）,user
42,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク未完了,選択したタスクを未完了,'買い物'タグが付いているタスクは直接未完了できない（リスト項目単位での未完了のみ許可されている）,user
43,タスク管理,定期的に行うタスク・都度発生したタスクを管理する,localstorage,タスク管理,タスク削除,選択したタスクを削除,'買い物'タグが付いているタスクは直接削除できない（リスト項目単位での削除のみ許可されている）,user
44,収支管理,金銭を管理する,localstorage,収支管理,収支一覧取得,収支一覧を取得,-,user
45,収支管理,金銭を管理する,localstorage,収支管理,収支集計,収支集計結果を取得,-,user
46,収支管理,金銭を管理する,localstorage,収支管理,収支詳細取得,収支詳細を取得,-,user
47,収支管理,金銭を管理する,localstorage,収支管理,収支登録,収支項目を登録,-,user
48,収支管理,金銭を管理する,localstorage,収支管理,収支編集,選択した収支項目を編集,-,user
49,収支管理,金銭を管理する,localstorage,収支管理,収支削除,選択した収支項目を削除,-,user
50,開発,趣味の開発を行う,javascript,開発管理,テキスト整形,入力したテキストを整形,-,admin
51,開発,趣味の開発を行う,javascript,開発管理,テキストプレビュー,指定したテキストをプレビュー表示,-,admin
52,楽曲管理,楽曲の情報・歌詞を管理する,localstorage,楽曲管理,楽曲一覧取得,楽曲一覧を取得,-,user
53,楽曲管理,楽曲の情報・歌詞を管理する,localstorage,楽曲管理,楽曲詳細取得,楽曲詳細を取得,-,user
54,楽曲管理,楽曲の情報・歌詞を管理する,localstorage,楽曲管理,楽曲登録,楽曲を登録,-,user
55,楽曲管理,楽曲の情報・歌詞を管理する,localstorage,楽曲管理,楽曲編集,選択した楽曲を編集,-,user
56,楽曲管理,楽曲の情報・歌詞を管理する,localstorage,楽曲管理,楽曲削除,選択した楽曲を削除,-,user
57,商品情報管理,商品の販売店舗・値段等の情報を管理する,localstorage,商品管理,商品一覧取得,商品一覧を取得,-,user
58,商品情報管理,商品の販売店舗・値段等の情報を管理する,localstorage,商品管理,商品詳細取得,商品詳細を取得,-,user
59,商品情報管理,商品の販売店舗・値段等の情報を管理する,localstorage,商品管理,商品登録,商品を登録,-,user
60,商品情報管理,商品の販売店舗・値段等の情報を管理する,localstorage,商品管理,商品編集,選択した商品を編集,-,user
61,商品情報管理,商品の販売店舗・値段等の情報を管理する,localstorage,商品管理,商品削除,選択した商品を削除,-,user
62,創作物管理,自作創作物の情報を管理する,localstorage,創作物管理,創作物一覧取得,創作物一覧を取得,-,user
63,創作物管理,自作創作物の情報を管理する,localstorage,創作物管理,創作物詳細取得,創作物詳細を取得,-,user
64,創作物管理,自作創作物の情報を管理する,localstorage,創作物管理,創作物登録,創作物を登録,-,user
65,創作物管理,自作創作物の情報を管理する,localstorage,創作物管理,創作物編集,選択した創作物を編集,-,user
66,創作物管理,自作創作物の情報を管理する,localstorage,創作物管理,創作物削除,選択した創作物を削除,-,user
67,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ履歴管理,筋トレ一覧取得,筋トレ一覧を取得,-,user
68,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ履歴管理,筋トレ完了,筋トレを完了,-,user
69,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ回数管理,筋トレ回数編集,筋トレ回数を編集,-,user
70,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ内容管理,筋トレ内容一覧取得,筋トレ内容一覧を取得,-,user
71,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ内容管理,筋トレ内容登録,筋トレ内容を登録,-,user
72,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ内容管理,筋トレ内容編集,選択した筋トレ内容を編集,-,user
73,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ内容管理,筋トレ内容削除,選択した筋トレ内容を削除,-,user
74,筋トレ管理,筋トレの履歴情報を管理する,localstorage,筋トレ設定管理,筋トレ設定編集,筋トレ設定を編集,-,user
75,システム管理,システムの稼働を開始する,api,データ管理,データ初期化,既存のデータを全て削除し、初期段階で必要なデータのみをデフォルト値で設定し直す,IDもリセットしたいのでマイグレーションのリフレッシュ使うかも,admin
76,システム管理,システムの稼働を開始する,api,データ管理,データ取得,スマホアプリにインポートさせるデータを取得する,-,user
77,システム管理,システムの稼働を開始する,api,データ管理,データ登録編集,データをスマホアプリからインポートし、未登録のデータは登録、登録済みのデータは更新する,-,user
78,自動実行,スケジュール管理で登録された項目をタスクとして自動登録する,batch,共通管理,タスク自動追加,スケジューリングされた作業・予定を、当日の0:00に自動的にその日のタスクとして登録する,-,batch
79,自動実行,筋トレを自動登録する,batch,共通管理,筋トレ自動追加,毎日0:05に自動的に筋トレを登録する,-,batch
80,自動実行,不要なデータを自動削除する,batch,共通管理,未使用データ完全削除,削除されて1年経過したデータを完全削除,-,batch
